paper_target,paper_label_or_metric,public_source_file,reproduction_command,source_sha256,provenance_class
CpS pricing,Author-maintained experiment pricing record dating approximately January-May 2026,configs/camera_ready_pricing.yaml,python scripts/reproduce_cps.py,c11da0bf2ec3501491c6686fa498dc62d17feaa1d5769f85d358815bc83fe1d2,HISTORICAL_SOURCE_CONFIRMED
CpS reproduction,252/252 rate-recomputed cells,artifacts/camera_ready/cps_recomputed_release_time.csv,python scripts/reproduce_cps.py,e6adda77a20cdd9594c438b04bb109a781dc1097659ba10d2e6c662ae16b3fbc,RELEASE_TIME_RECONSTRUCTION_TOOLING
Figure 5,K=1 to K=50 Hard transition aggregate,artifacts/camera_ready/figure5_transition_camera_ready.csv,python scripts/figures/plot_quadrant_breakdown.py artifacts/camera_ready/figure5_transition_camera_ready.csv --out-dir reproduced_figures,2fd30aeea4e3d1219b63cc107b43d38e03ddc68d1351cf5b6cafaab02d317d70,FROZEN_CAMERA_READY_AGGREGATE
Figure 5,Final frozen aggregate PDF,artifacts/figures/error_quadrant_breakdown.pdf,,9555fb3a1bd676cefa0f9766f10014462ff3a00ef47d8e9a279255397cc6ee2d,CAMERA_READY_PAPER_FACING
Figure 6(a),Failure anatomy dichotomy,artifacts/error_analysis/Error Analysis - Error Type_v2.csv,python scripts/figures/plot_error_anatomy_dichotomy.py 'artifacts/error_analysis/Error Analysis - Error Type_v2.csv' --out-dir reproduced_figures,8ecce1e22a27d13260acd26391be1fa83cf9991d482937f9960023a4e22e7bfc,HISTORICAL_SOURCE_CONFIRMED
Figure 6(b),Reader failure profiles,artifacts/error_analysis/Error Analysis - Error Type_v2.csv,python scripts/figures/plot_error_anatomy_model_profile.py 'artifacts/error_analysis/Error Analysis - Error Type_v2.csv' --out-dir reproduced_figures,8ecce1e22a27d13260acd26391be1fa83cf9991d482937f9960023a4e22e7bfc,HISTORICAL_SOURCE_CONFIRMED
BGE-M3,Publication-facing frozen trial/aggregate record,artifacts/camera_ready/controlled_trials_author_resolved.csv,,a47e58d3c47654102b9e1562955594813e100b7486d8dce06ab28a40c88c16e0,PROVENANCE_LIMITED
Appendix positional,Start/Middle/End,artifacts/camera_ready/position_variance_camera_ready.csv,,483cac2964f32318b93289eb08a7f732e2562ee57769a224f6e3fecca5e31817,CAMERA_READY_PAPER_FACING
Semantic judge validation,Aggregate native and extraction sensitivity,artifacts/appendix/semantic_judge_validation_camera_ready.csv,,eba6ff7aa02e58b01920dea3df06e91d777b001d2b9145d6a3511646dfaa75fe,CAMERA_READY_PAPER_FACING
Human validation,Pre-adjudication metrics,human_validation/results/inter_annotator_metrics_v2.csv,,d314429504cda04d276d46080ceafbe28bda61c1386df1e71feda8eb335ada0e,HISTORICAL_SOURCE_CONFIRMED
Human validation,Sanitized final-v2 judge-human metrics,human_validation/results/final_human_judge_metrics_v2.csv,,4930ec89cd2087552178fa8dfd7d9f6933b0711ab8cfa757e0eb7efeb4ceb059,HISTORICAL_SOURCE_CONFIRMED
Human validation,Sanitized final-v2 confusion matrices,human_validation/results/final_human_judge_confusion_matrices_v2.csv,,09a1748a9c0ff7f79535085e9c7d4480e214b3104b57948ea0586e9f672e3b0f,HISTORICAL_SOURCE_CONFIRMED
Headline error anatomy,rule_order_v2 aggregates,artifacts/error_analysis/paper_error_analysis_crosstabs.csv,,a6f09458cd35296bb6a102d2a14a50ecfa29c3f47a8956da63af97c1b5fcc3d8,HISTORICAL_SOURCE_CONFIRMED
Dataset snapshots,Six frozen exact input hashes,docs/DATASET_VERSION_MANIFEST.csv,,75c5192fb4a2e1ddd212a9103ec282612e253483c49845ccddcace3b39dfa230,PROVENANCE_LIMITED
